fit_time,score_time,test_roc_auc_scorer,test_accuracy,test_f1_score,test_domprc,test_aps
0.9461538791656494,0.007129192352294922,0.9465020576131687,0.8888888888888888,0.8615384615384616,0.6944444444444444,0.9843183443378769
0.814828634262085,0.006853342056274414,0.9814814814814815,0.9142857142857143,0.8834628190899001,0.7428571428571429,0.9943995236587828
0.8255648612976074,0.006943702697753906,0.9953703703703705,0.9714285714285714,0.9611542730299667,0.7428571428571429,0.9986772486772486
0.801032304763794,0.006887912750244141,0.9629629629629629,0.8857142857142857,0.8600000000000001,0.6571428571428571,0.9899651084300694
0.816486120223999,0.0065937042236328125,0.9537037037037037,0.8857142857142857,0.7988505747126436,0.8857142857142857,0.9857382357135258
0.8519084453582764,0.006940603256225586,0.9711934156378601,0.9166666666666666,0.8927507447864945,0.7222222222222222,0.9903510261556236
0.8093521595001221,0.0070705413818359375,0.9675925925925926,0.9142857142857143,0.8834628190899001,0.7428571428571429,0.9900144807305116
0.8306014537811279,0.006529092788696289,0.986111111111111,0.9714285714285714,0.9575757575757575,0.8,0.9958810051402642
0.7902626991271973,0.006608009338378906,0.9768518518518519,0.8857142857142857,0.8504273504273505,0.7142857142857143,0.9935000527593119
0.809096097946167,0.006621599197387695,0.9537037037037037,0.8857142857142857,0.837962962962963,0.7714285714285715,0.9857382357135258
